Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2012 Alfa Romeo Giulietta Front Bumper Shock Impact Absorber 51811234SX,51811234SX,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2001 Alfa Romeo Spider Crankshaft Pulley,,2001,Alfa Romeo,Spider,Petrol,Convertible,110,150,2.0 (1970cm³)
2006 Alfa Romeo 159 Engine Piston -,-,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2011 Alfa Romeo Giulietta Front Quarter Panel,,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2003 Alfa Romeo 166 Engine Head 46437268,46437268,2003,Alfa Romeo,166,Diesel,Saloon,103,140,2.4 (2387cm³)
2010 Alfa Romeo MiTo Wheel Center Cap Hub Trim Cover -,-,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2012 Alfa Romeo Giulietta Front Subframe,,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2007 Alfa Romeo 159 Speedometer Instrument Cluster 60696628,60696628,2007,Alfa Romeo,159,Diesel,Saloon,,115,1.9 (1910cm³)
2004 Alfa Romeo 156 Dismantling cars 937A5.000,937A5.000,2004,Alfa Romeo,156,Diesel,Saloon,110,150,1.9 (1910cm³)
2004 Alfa Romeo 147 Dismantling cars 937A2.000,937A2.000,2004,Alfa Romeo,147,Diesel,Hatchback,,115,1.9 (1910cm³)
2010 Alfa Romeo MiTo Front Driveshaft,,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
1999 Alfa Romeo 166 Air SRS Safety Bag Crash Impact Sensor 50525909,50525909,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2008 Alfa Romeo Brera Dismantling cars 939A9.000,939A9.000,2008,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
2007 Alfa Romeo 159 Front Seat Belt Buckle 184838960,184838960,2007,Alfa Romeo,159,Diesel,Saloon,,115,1.9 (1910cm³)
2004 Alfa Romeo GT Passenger Air SRS Bag 46748661,46748661,2004,Alfa Romeo,GT,Petrol,Coupe,121,165,2.0 (1970cm³)
2011 Alfa Romeo Giulietta Rear Bumper Holder Mounting Bracket 50513486,50513486,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2006 Alfa Romeo 159 Engine Piston -,-,2006,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2001 Alfa Romeo Spider Front Driveshaft,,2001,Alfa Romeo,Spider,Petrol,Convertible,110,150,2.0 (1970cm³)
2007 Alfa Romeo 147 Front Seat Belt,,2007,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2009 Alfa Romeo MiTo Ignition Lock Barrel With Key Remote 01098401,01098401,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2010 Alfa Romeo MiTo Master Brake Cylinder,,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2000 Alfa Romeo 156 Dashboard Display Screen 1560167770,1560167770,2000,Alfa Romeo,156,Petrol,Saloon,140,190,2.5 (2492cm³)
2006 Alfa Romeo 147 Dismantling cars 937A3.000,937A3.000,2006,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2010 Alfa Romeo MiTo Front Door,,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
